epoch,train_loss,train_bmi_loss,train_gender_loss,train_r2,train_gender_acc,val_loss,val_bmi_loss,val_gender_loss,val_r2,val_gender_acc
1,1.630052866321979,0.9003584131155864,0.7301776969786917,-0.96132213191889,0.573208722741433,1.3129923790693283,0.7615139596164227,0.5532413981854916,-0.17364774189190313,0.7473404255319149
2,1.2642068207854091,0.7566115242419856,0.5165102655934816,-0.711384440805745,0.7454828660436137,1.0320244779189427,0.6939417272806168,0.3594169194499652,-0.0684972744211827,0.8710106382978723
3,1.0366942675987092,0.6576599233811444,0.41648482110830815,-0.47907117812860367,0.8121495327102803,0.9087868841985861,0.6607841501633326,0.3107166566575567,-0.01581173585388429,0.8776595744680851
4,0.8971347289510293,0.5934049286464653,0.38241711295772307,-0.33547191834965817,0.8448598130841122,0.843559131026268,0.6565259185930093,0.2896636538207531,-0.010609878225760871,0.8896276595744681
5,0.80016227612401,0.5862515831347739,0.3350798315045857,-0.2657234444980816,0.8566978193146417,0.7514475286006927,0.6067829305926958,0.2902915260444085,0.06360231994485077,0.8803191489361702
6,0.6894281093436893,0.520560353699297,0.3359794511948482,-0.17734190111804726,0.8579439252336448,0.6994511609276136,0.5975291753808657,0.2863113107159734,0.08015008971027371,0.886968085106383
7,0.6335270885783847,0.5200702106893653,0.320431113243103,-0.17970010901701294,0.8641744548286604,0.6785886790603399,0.6292490648726622,0.2659887879466017,0.03186333763753424,0.8843085106382979
8,0.5789114753208539,0.4860199840352087,0.3370405787436089,-0.1334612327995972,0.8598130841121495,0.6162976510822773,0.6127354142566522,0.2579090887059768,0.057081570754082156,0.8896276595744681
9,0.46485900214993126,0.4658134848174482,0.29594255094923594,-0.0376004423861267,0.874766355140187,0.5871988385915756,0.6026695892214775,0.26984485797584057,0.0746792171115056,0.8856382978723404
10,0.40838975451960424,0.4537748490819837,0.29186658767780455,-0.013907579827820316,0.8763239875389408,0.5363067711393038,0.5843571896354357,0.27167213304589194,0.0997872552706277,0.8936170212765957
11,0.39011367240754685,0.46654282288976234,0.2856486701581738,-0.025693263559954493,0.881619937694704,0.5181259711583456,0.5902272661526998,0.26392056203136843,0.09173768352040468,0.886968085106383
12,0.27569952518633095,0.43242634065670543,0.25031547749986743,0.063266975603684,0.8981308411214953,0.46327301984031993,0.5805002264678478,0.2461014095072945,0.10621803579387046,0.8976063829787234
13,0.2768112393003879,0.4248564504455812,0.2713167837793284,0.06342644302604972,0.8903426791277259,0.4891440098484357,0.6103775675098101,0.245677947687606,0.05964485280070464,0.8962765957446809
14,0.21677381051058817,0.4059909782787361,0.2615063543071841,0.07731945152689323,0.8906542056074767,0.4483818809191386,0.6035051470001539,0.23506201151758432,0.07073862183211876,0.9055851063829787
15,0.17481980701484304,0.4235746420846127,0.23031266011519008,0.07328699921251969,0.9062305295950156,0.41811371470491093,0.5933055840432644,0.2355817665035526,0.08521334204478836,0.9029255319148937
16,0.1423520552049769,0.39592932666292285,0.24881473943443583,0.11800194593376989,0.8962616822429906,0.3973387268682321,0.5924456752836704,0.23236992737899223,0.08626201156337798,0.913563829787234
17,0.10448446117415286,0.4051605191561255,0.22845988775981535,0.12891331480889157,0.9077881619937694,0.35601580515503883,0.5809512088696162,0.2268322048087915,0.10558342469418514,0.910904255319149
18,0.1008445256122268,0.3864120311371171,0.25602965381475956,0.14537204483107802,0.8996884735202493,0.34160680572191876,0.5786311576763788,0.22913188906386495,0.1076621385330776,0.910904255319149
19,0.008369723464002703,0.3823560725639362,0.2154432761270811,0.17682216694773178,0.9196261682242991,0.35281405597925186,0.5946405753493309,0.2299287603236735,0.08313653514370012,0.9095744680851063
20,-0.029206331413571197,0.3629317065276722,0.22358469772014286,0.2069679494496639,0.908411214953271,0.32925385733445484,0.5940948848923048,0.22429619977871576,0.08619925443222465,0.913563829787234
21,-0.0829175079222953,0.36529998009157655,0.20179673225277722,0.1994708401961418,0.9261682242990654,0.2912619759639104,0.5691552869975567,0.23336571905141076,0.12392108133046342,0.9042553191489362
22,-0.10735772446830674,0.36234600738723677,0.2019780776509554,0.2033729643082529,0.9177570093457944,0.2993124711016814,0.5951351759334406,0.22086099659403166,0.08263514453023513,0.9082446808510638
23,-0.10081376976305896,0.3576170489339545,0.22009388984429953,0.20534150899369297,0.9174454828660437,0.29128681619962055,0.5927148175736269,0.224208475711445,0.08804164715244678,0.9122340425531915
24,-0.11468424448872556,0.34751500882724723,0.2304544687123582,0.23028101360860376,0.9186915887850468,0.27306512246529263,0.594875787695249,0.21765542589128017,0.08457767337158073,0.9228723404255319
25,-0.18622326968920114,0.34562288623044984,0.20233268554479178,0.22952922218892335,0.9252336448598131,0.2648838112751643,0.5944864439467589,0.21919305405269066,0.08526035350537953,0.9295212765957447
